Name	Type	Set	Cost	Damage	Momentum	Target	Traits	Starting	Game Text
Orange Cassidy Wrestler	Wrestler	Advanced 			2//6			Orange Cassidy Wrestler	Front: (Sloth) Ready Action - Commit: Reveal cards from your draw deck until you reveal a (Sloth) card, put it into your hand. Discard the rest, if none are found just shuffle your draw deck. // Staggered: Flip // Back: (Sloth) Ongoing - Your maneuvers are +1D for each (Sloth) card in your ring. 
Oscutter	Grapple	Advanced	8	10	10	H	High Risk		Hidden  Enters - Opponent Tucks a card from both their discard and their Market.  Will Ospreay - Turned - Create a Bell Ringer token in opponent's Ring and a 3C Brain Fog token in their Market.
Outsmart	Action	Advanced	6	0	0				Uses 2  Tie-Up Action - Commit and remove a use counter: Play a maneuver, it gains Cunning Attack.
Patriarch	Call Name	Advanced			2			Patriarch	Your Starting deck may contain one copy of the following cards: Devoted, Sacrificing, Respected, and Compassionate. 
Payback Chop	Strike	Advanced 	0	2	3	T			Retaliate - +3D
Persistent Chop	Strike	Advanced	2	3	3	T	Chop		Resilient, Relentless 
Powerbomb	Grapple	Advanced	9	10	10	T	Slam		Enters - Create a Winded token in your opponent's ring and a Beast token in your ring. Choose one of those to gain Permanent this turn.
Powerful Grappler	Action	Advanced	6	0	3				Tie-Up Enters - Play a Grapple from hand or discard. If played from hand it gains Power Attack. If reversed being played from discard, put it beneath your draw deck. 
Punch	Strike	Advanced	0	1	3	H	Punch		
Rainmaker	Strike	Advanced	16	12	12	H	Lariat	Kazuchika Okada Wrestler	Finisher  Enters - You may shuffle your Discard, Market, and Purchase Deck into your Draw Deck. If you don't, your Hand, Hold, and Market are all +2 this turn. 
Rainmaker Pose	Action	Advanced	8	0	3			Kazuchika Okada Wrestler	Enters - Pay X Momentum to look at the top X cards of your Draw Deck, you may Tuck any number of those cards.  Special - If this would be put into your Discard from anywhere shuffle it into your Draw Deck instead. 
Rally the Crowd 	Action	Advanced	1	0	2				Permanent, Sturdy
Ready Up	Action	Advanced	1	0	2				Sudden. Enters - Uncommit a card
Rear Hook	Strike	Advanced	1	3	4	H	Punch		Combo Attack
Rear Naked Choke	Submission	Advanced	12	8	8	H			Enters - Try to Submit Opponent 
Repeated Disrespect	Strike	Advanced	2	2	2	H			Hidden. Turned - Put a charge counter on this, turn it face down again. This gains Permanent this turn.  Special - This is +1C/+1D for each counter on this. 
Repose	Response	Advanced	5	0	3				Hidden. Reverse any Strike. If played from Ring, reverse any maneuver
Respected	Action	Advanced	3	0					Ongoing - Your cards played from outside your hand gain Pressing
Ripcord	Grapple	Advanced	4	0	2	A	Setup		Enters - Choose one: Play a maneuver from your Market by paying for it. If it's reversed, Tuck it. OR Attempt to Lariat opponent 
Roll Up	Grapple	Advanced	9	2	3	T			Follow-Up - Try to Pin opponent
Ruby Action	Action	Advanced	5	0	3			Ruby Soho Wrestler	Ongoing - Tokens you Attempt have Pressing, Tokens in your ring have Sturdy and Agressive.
Ruby Soho Manager	Manager	Advanced			3			Ruby Soho Manager	Angelo Parker - Your Starting Hand is +1 (this does not effect your hands after your opening hand). Action - Commit : Attempt to Get a Pop, it gains "Enters - Choose one : Gain 2 Stamina or Scout."
Ruby Soho Wrestler	Wrestler	Advanced			4			Ruby Soho Wrestler	Action - Commit : Attempt to Get a Pop, it gains "Enters - Gain 2 Stamina and Scout".  Ongoing - Your Tokens are +1M.
Running Boot	Strike	Advanced	4	9	9	H	High Risk, Kick		
Running Lariat	Strike	Advanced	4	5	5	T			Enters - Stun opponent. Hangman Enters - Scout
Running On Empty	Action	Advanced	5	0	1				Enters - Committed cards with Permanent don't Uncommit as this turn ends.
Sacrificing	Action	Advanced	2	0	3				Enters - Put a card from your ring into your Discard. Each player loses Stamina equal to its Momentum, you may also Tuck cards from your discard equal to its cost. 
Samoa Joe Wrestler	Wrestler	Advanced			5			Samoa Joe Wrestler	Tie-Up Action - Commit and discard a card : Give up to two cards in your Market Sudden this turn. 
Samoan Drop	Grapple	Advanced	3	6	6	T			This is +1D for each maneuver type in your ring (Strike, Grapple, Submission) 
Samoan Submission Machine	Call Name	Advanced			2			Samoan Submission Machine	Your Starting Draw Deck may include one copy of the card Sleeper and up to 3 cost worth of other cards. 
School Boy	Grapple	Advanced	11	3	3	T			Can Reverse any maneuver with an Enters ability. Enters - Try to Pin opponent. 
Scorpion Deathlock	Submission	Advanced 	10	10	10	L			Focus Attack
Seize the Initiative	Response	Advanced	4	0	3				Reverse any Action or Strike
Selfless	Action	Advanced	8	0	4				Ongoing - Opponent's Hand, Hold, and Market are all +1.  Enters - Draw three cards and gain 3 Stamina. 
Shake It Off 	Action	Advanced	2	0	2				Ongoing - Choose a card in opponent's ring. That card loses all abilities. 
Sharp Tongue	Action	Advanced	6	0	2				Ongoing - Your Actions are +1D. 
Shoulder Capture Suplex	Grapple	Advanced	8	6	4	A	Suplex		Can Reverse any Kick
Shut the Fuck Up	Response	Advanced	3	0	2				Permanent, Relentless. Reverse any Action. 
Side Kick	Strike	Advanced	2	6	6	T	Kick		
Skilled Boxer	Action	Advanced	3	0	2				Enters - You may purchase a Punch from your Market.  Ongoing - Your Punches are -1C. 
Slip 	Response	Advanced	2	0	3				Reverse any Strike. If it is a Punch, Lariat, or Kick, draw a card
Smile Anyway	Response	Advanced	5	0	2				Reverse any card.  Ongoing - Your Hold is +1.  Enters - Opponent must pay Momentum equal your Hold.
Snap Dragon Suplex	Grapple	Advanced	6	6	6	H	Suplex		Sudden. Kenny Omega - Cost -2.
Snap Leg Kick	Strike	Advanced	0	3	2	L	Kick		Ongoing - Your Kicks are -1C. Speedball Enters - This gains Permanent this turn. 
Sneak Through the Crowd	Action	Advanced	2	0	2				Hidden  Enters - You may look at the top three cards of your Draw Deck, you may play one of them facedown, that maneuver has Pressing and Permanent this turn.
Sniper	Action	Advanced	1	0	3				Enters - Choose a Strike in your discard pile. If this is the Tie-Up phase and it has T:H you may play that card. Otherwise put it beneath your draw deck and draw a card. 
Speedball	Call Name	Advanced			3			Speedball	Your Starting Draw Deck may contain up to 4 cost of Kicks, and 3 cost of other cards
Spit at Opponent 	Action	Advanced	4	0	2				Cycling. Ready Enters - Opponent chooses one: Discard a Response or pay 4M and lose 4 Stamina
Spray Mist	Action	Advanced	4	0	3				Hidden  Enters - Opponent discards a card.  Turned - Create a Blinded token in Opponent's Ring.
Steal the Mic	Response	Advanced	2	0	1				Sudden. Reverse any Action. Enters - Choose one - Attempt to Anger the Crowd or Attempt to Rally the Crowd 
Sting Manager	Manager	Advanced			3			Sting Manager	Response - Commit, Pay 2M, and discard a card: Reduce the damage of a opponent's maneuver by the discarded Momentum.
Study the Tapes 	Action	Advanced	3	0	2				Permanent. Enters - Search your Purchase Deck for a Reversal card and put it in your Market. 
Stuff	Response	Advanced	2	0	3				Reverse any Grapple. If it's a Slam, Suplex, or Takedown draw a card
Stundog Millionaire	Grapple	Advanced	8	6	6	H			Cunning Attack  Can Reverse High Risks, Suplexes, and Slams  Orange Cassidy - Can reverse any card that can beat you (Damage more than your Stamina, has Enters - Try to Pin Opponent, or Submit, or Knockout, or Passout)
Stunner	Grapple	Advanced	14	10	12	H			Focus Attack  Follow Up - Has Sudden and Relentless if being played after a Kick.  Enters - Stun opponent, twice.
Styles Clash 	Grapple	Advanced	12	6	10	T			Resilient 
Sucker Punch 	Strike	Advanced	4	4	4	H	Punch		Sudden, Focus Attack
Sunglasses	Action	Advanced	6	0	4		Item		(Sloth) Ready Enters - Draw three cards then discard a card.   Staggered - Your (Slothx2 needed) cards have Relentless. 
Suplex	Grapple	Advanced	0	4	3	T	Suplex		
Survive If I Let You	Response	Advanced	5	0	3		Suplex	Taz Wrestler	Combo Attack.  Reverse any card. Enters - Attempt to Suplex opponent. 
Sweep	Strike	Advanced 	4	2	3	L	Kick, Set-up		Enters - Play a High Risk from your discard by paying for it.   Capitalize - The High Risk may come from your Market. 
Swift Chop	Strike	Advanced	1	3	3	T	Chop		Sudden. Special - When this enters your Market it gains Echo this turn
T-Bone Suplex	Grapple	Advanced	8	6	4	T	Suplex		Can Reverse any Punch
Taekwondo Head Kick	Strike	Advanced	5	4	4	H	Kick		Sudden, Permanent
Tarantula	Submission	Advanced	2	5	5	-			Illegal, Rope Break, Resilient
Taz Wrestler	Wrestler	Advanced			5			Taz Wrestler	Tie-Up Action - Commit: Attempt to Suplex opponent. 
Tazmission	Submission	Advanced	18	13	13	H		Taz Wrestler	Finisher.  Enters - Try to Submit Opponent, any Suplex can add to this. 
The 'Ol One-Two	Strike	Advanced	3	5	5	H	Punch, Setup		Anthony Ogogo - -1C. Enters - Play a Punch from your Hand or Discard, if it costs 3 or less, it gains Combo Attack. 
The Babe With the Powerbomb	Grapple	Advanced	16	12	12			Willow Nightingale Wrestler	Finisher  Enters - Draw cards equal to your Hold.
The Baddest Man on the Planet	Call Name	Advanced			2		Boxer	Baddest Man on the Planet	Ongoing - Your Punches are +1M.  Your Starting Draw Deck may contain up to 3C of Punches. 
The Conglomeration	Faction	Advanced			3			The Conglomeration	Flip - Pay XM. If X is 1 or more, draw a card. 3 or more gain 3 Stamina. If 5 or more you may Tuck any number of cards from your Market, refill your Market. If 7 or more put any number of cards from your discard beneath your draw deck and tuck any number of them.  Gain X Stamina. 
The Elite	Faction	Advanced			2			The Elite	Flip - Draw three cards. 
The Gov'na	Call Name	Advanced			2		Boxer	The Gov'na	Ongoing - Your Punches are -1C.
The Hurt Syndicate	Faction	Advanced			2			The Hurt Syndicate	Flip - Create a Beast and an Inspired token in your ring. Create a Winded and Bell Ringer tokens in your opponent's ring. Choose one of those to gain Permanent this turn. 
The Patriarchy	Faction	Advanced			4			The Patriarchy	Flip - Choose a card in your Market to gain Sudden this turn, a card in your discard to gain Relentless this turn, Scout, then you may Attempt to Draw Heat. Christian Cage - You may pick an additional card from both your Market and Discard. 
