Card Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Card Raw Game Text	Card
Front Chancery	Submission	Core	0	3	3	H				Ongoing -Your Hand is +1. Enters - Gain 2 Stamina. 	
Hammerlock	Submission	Core	0	3	3	A				Enters - Gain 2 Stamina. Ongoing - Opponent's Punches are -1D.	
Overhand Wrist Lock	Submission	Core	0	3	3	A					
Side Headlock	Submission	Core	0	1	3	H				Permanent	
Wrist Lock	Submission	Core	0	2	3	A				Permanent	
Grounded Body Scissors	Submission	Core	1	3	3	T				Ongoing - Non-Maneuver cards in Opponent's Market are +2C.	
Grounded Hammer Lock	Submission	Core	1	3	3	A				Ongoing - Choose a card in Opponent's Market. They can't purchase or play that card. (You may pick Kit cards) 	
Grounded Headlock	Submission	Core	1	3	3	H				Ongoing - Choose a Non-Signature card in Opponent's Ring. That card loses all abilities except Permanent. It has 0M.	
Knee Bar	Submission	Core	1	5	3	L				Permanent. Enters - Gain 2 Stamina	
Showoff Lock	Submission	Core	1	1	1	-				Enters - Choose one: Attempt to Draw Heat or Attempt to Get a Pop. 	
Kneelock	Submission	Core	2	3	6	L					
Standing Arm Lock	Submission	Core	2	4	2	A				Ongoing - Opponent's Grapples are +1C.	
Standing Leg Lock	Submission	Core	2	4	2	L				Ongoing - Opponent's Strikes are +1C.	
Standing Waist Lock	Submission	Core	2	4	2	T				Ongoing - Opponent's Submissions are +1C.	
Sleeper	Submission	Core	3	6	6	H				Enters - Stun opponent. That card loses Permanent this turn.	
Ankle Hook	Submission	Core	4	3	6	L				Focus Attack. Ongoing - Opponent's Kicks are -2D	
Fujiwara Armbar	Submission	Core	5	6	6	A				Ongoing - Your opponents Strikes are Cost +1.	
Arm Wringer 	Submission	Core	6	6	6	A				Ongoing - Your maneuvers with T:A are +2D.	
Bear Hug	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:T are +2D.	
Neck Wringer	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:H are +2D.	
Stump Puller	Submission	Core	6	6	6	L				Ongoing - Your maneuvers with T:L are +2D.	
Key Lock	Submission	Core	8	4	4	A				Ongoing - Choose a card in opponent's market. They can't purchase that card. 	
Single Leg Crab	Submission	Core	8	7	7	L				Ongoing - Opponent's market is -1.	
Bulldog Choke	Submission	Core	10	10	10	H				Ongoing - Opponent's Hand is -1. Jon Moxley - Damage +3.	
Figure Four Leg Lock	Submission	Core	16	12	12	L					
The Hurt Lock	Submission	Core	18	12	12	H		TRUE	Bobby Lashley	Finisher, Focus Attack 	
Bobby Lashley	Wrestler	Core	N/a	N/a	5			TRUE	Bobby Lashley	Tie-Up Action - Commit : Play a maneuver from your hand. It gains "Enters - Draw two cards." 	
Jon Moxley	Wrestler	Core	N/a	N/a	5			TRUE	Jon Moxley 	Tie-Up Action - Commit : play a maneuver from your hand, it is +5D.	
Kenny Omega	Wrestler	Core	N/a	N/a	5			TRUE	Kenny Omega	Ready Action - Commit : Discard a card then draw two cards. 	
Mike Bailey	Wrestler	Core	N/A	N/A	3			TRUE	Mike Bailey	Tie-Up Action - Commit : Attempt to Kick opponent, it gains Permanent this turn. 	
Swerve Strickland	Wrestler	Core	N/a	N/a	5			TRUE	Swerve Strickland	Recovery Action - Commit : put a card from your discard pile under your draw deck. 	
Toni Storm	Wrestler	Core	N/a	N/a	5			TRUE	Toni Storm 	Recovery Action - Commit : Put up to two action cards from you discard benath your draw deck.	
Adam Copeland	Wrestler	Advanced	N/A	N/A	4			TRUE	Adam Copeland	You may have an additional copy of cards in your draw and purchase decks.	
Adam Page	Wrestler	Advanced	N/A	N/A	4			TRUE	Adam Page	Trigger - When your opponent hits with two consecutive maneuvers Scout and Attempt to Get a Pop. 	
Angelo Parker	Manager	Advanced	N/A	N/A	3			TRUE	Angelo Parker, Ruby Soho	Ruby Soho - Your Starting Hand is +1 (this does not effect your hands after your opening hand).  Action - Commit : Choose two cards in your Market. Purchase one, Tuck the other, then refill your Market (you must pay for the card you purchased). 	
Angelo Parker	Wrestler	Advanced	N/A	N/A	4			TRUE	Angelo Parker	Ongoing - When you purchase a card you may also Tuck a card from your Market and replace it	
Anger the Crowd	Action	Advanced	1	0	5					Special - +3M outside the Recovery Phase. 	
Ankle Lock	Submission	Advanced	0	2	2	L				Focus Attack 	
Anthony Bowens	Wrestler	Advanced	N/A	N/A	5			TRUE	Anthony Bowens	Tie-Up Action - Commit and discard a card : Play a maneuver from your hand, any Enters abilities on that card trigger an additional time 	
Anthony Ogogo	Manager	Advanced	N/A	N/A	3		Boxer	TRUE	Anthony Ogogo	Ongoing - During your Recovery Phase your Punches are -1C. 	
Anthony Ogogo	Wrestler	Advanced	N/A	N/A	3		Boxer	TRUE	Anthony Ogogo	Your Punches are -1C.	
Arm Breaker	Grapple	Advanced	8	6	6	A				Relentless	
Arm Scissor	Submission	Advanced	2	4	4	A				Ongoing - Opponent's maneuvers played from outside their hand deal half damage (round up)	
Arm Wringer	Submission	Advanced	3	5	7	A				Enters - You may pay 5M. If you do, draw a card and gain 3 Stamina. 	
Backhand Chop	Strike	Advanced	1	3	2	T	Chop			Sudden, Combo Attack	
Baddest Hands on the Planet 	Boon	Advanced	0	0	0					Permanent. Ongoing - Your Punches are +1D/+1M.	
Baddest Plan on the Planet 	Action	Advanced	5	0	4		Punch	TRUE	Mike Tyson	Ongoing - Your gain Punches "Enters - Stun opponent then Scout". Enters - Create a Baddest Hands on the Planet Token in your Ring. 	
Baddest Uppercut on the Planet	Strike	Advanced	20	16	16	H	Punch	TRUE	Mike Tyson	Finisher. Enters - If your Uncommited momentum from only other Punches is higher than your opponent's stamina, you win the game via Knockout. 	
Beast 	Boon	Advanced	0	0	3					Ongoing - Your maneuvers are +1D	
Bell Ringer	Injury	Advanced	0	0	0					Ongoing - Your Market is -1.	
Beth Copeland	Manager	Advanced	N/A	N/A	3			TRUE	Beth Copeland	Ongoing - Cards in your Market have Sudden if there is a copy of that card in your ring. 	
Big Stoke	Manager	Advanced	N/A	N/A	3			TRUE	Stokely Hathaway	Ongoing - Your Market is +1.	
Bitch	Response	Advanced	8	0	4			TRUE	Kazuchika Okada	Reverse any card. Special - If this would be put into your Discard from anywhere, shuffle it into your draw deck instead. 	
Bite the Ear	Response	Advanced	6	2	3		Punch	TRUE	Mike Tyson	Reverse any maneuver. Ongoing - Your Punches are +2D. 	
Blackpool Combat Club 	Faction	Advanced	N/A	N/A	3			TRUE	Blackpool Combat Club	Flip - Play a maneuver from your discard. It gains +3D and Permanent this turn.	
Blinded	Injury	Advanced	0	0	0					Ongoing - Your Hand is -1.	
Blindsided Punch	Strike	Advanced	0	3	3	H	Punch			Hidden.  Turned - Stun opponent 	
Blown Spot	Response	Advanced	5	0	3					Reverse any maneuver not played from hand. Tuck that card.	
Body Scissors	Submission	Advanced	7	7	7	T					
Boston Crab	Submission	Advanced	8	4	4	T				Trigger - After opponent plays an Action card, Stun them. 	
Brain Fog	Injury	Advanced	X	0	0					Nothing	
Break Concentration 	Response	Advanced	4	0	3					Reverse any Action or Submission 	
Bridging German Suplex	Grapple	Advanced	9	5	5	T	Suplex			Enters - Try to Pin opponent.   Capitalize - If this was played after Drop Step this is +4M for this Pin. 	
BTE	Action	Advanced	4	0	2			TRUE	The Elite	Enters - Put a card from your discard beneath your draw or purchase deck. Then draw two cards and gain 2 Stamina. 	
Buckshot Lariat	Strike	Advanced	10	12	12			TRUE	Adam Page	Finisher. Follow-Up - Has Sudden and Relentless. 	
By God 	Call Name	Advanced	N/A	N/A	1			TRUE	By God, Don Callis 	Your Starting Draw deck may include up to 3 cost of any cards. Don Callis - You may also include one copy of Will of the Invisible Hand. 	
Cash Cannons	Action	Advanced	3	0	2					Enters - Market two cards	
Catch the Ropes	Response	Advanced	3	0	2					Rope Break. Reverse any Strike, High Risk, Suplex, or Set-Up	
Charging Lariat 	Strike	Advanced	0	2	3	T	Lariat			Power Attack 	
Chinlock	Submission	Advanced	4	6	6	H				Ongoing - To play Action cards opponent must either pay for them or Discard a card. 	
Christian Cage	Manager	Advanced	N/A	N/A	4			TRUE	Christian Cage	Ongoing - Your cards played from outside your hand are +1D (this affects Tokens being Attempted)	
Coffin Splash	Strike	Advanced	4	10	10	T	High Risk			Risky 3. Darby Allin - This does not have Risky. 	
Compassionate	Action	Advanced	4	0						Enters - Each player puts a card from their Ring into their discard, they also Tuck a card from their Market, refill each players Market. 	
Courageous	Action	Advanced	6	0	4				Patriarch	Resilient, Relentless. Enters - You may look at the top three cards of your Draw Deck. Tuck one, discard one, put one in your hand.   Patriarch Trigger - When discarded, Scout.	
Cowboy Shit	Response	Advanced	4	0	2			TRUE	Adam Page	Permanent. Reverse any maneuver. Response - Commit and discard a card to reduce the damage of the played maneuver by the discarded Momentum, this loses Permanent. 	
Crane Kick	Strike	Advanced	4	6	6	H	Kick			Combo Attack	
Create-a-Wrestler	Wrestler	Advanced	N/A	N/A	3			TRUE	Create a Wrestler 	For your Kit choose one non-Kit Maneuver, Action, and Response. Those gain your logo, the maneuver gains Finisher. You can not include additional copies of those cards.	
Cross Arm Breaker	Submission	Advanced	12	8	8	A				Enters - Try to Submit Opponent. 	
Cross Punch	Strike	Advanced	0	2	2	H	Punch			Combo Attack	
Crossface Chicken Wing	Submission	Advanced	2	6	6	-				Targets both Head and Arm (this card is considered to have no text as the Target icon would just have both targets) 	
Crowd Favorite	Action	Advanced	4	0	0					Permanent. Action - Commit and choose one: -Gain 1 Stamina, then you may Cycle a card. OR -Attempt to Get a Pop, this loses Permanent.	
Cunning Striker 	Action	Advanced	6	0	2					Tie-Up Enters - Play a Strike from hand or discard. If played from hand it gains Cunning Attack	
Cut the Angle	Response	Advanced	4	0	3					Reverse any Action or Grapple	
Daddy Magic	Call Name	Advanced	N/A	N/A	2			TRUE	Daddy Magic	Ongoing - Your Market is +1 if it contains an Action card	
Deadeye 	Grapple	Advanced	9	6	6					Enters - Play a maneuver with T:T from your discard by paying for it. Hangman - Only need to pay half. Adam Page - It gains Power Attack. 	
Destination Unknown	Strike	Advanced	16	10	10	H		TRUE	Ruby Soho	This is +1D for each token in your ring.  Finisher.   Ongoing - Your Tokens have Permanent. 	
Devoted	Action	Advanced	1	0	2					Relentless. Enters - Discard the bottom card of your Draw deck then Scout. 	
Disarmer	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:A are +1D.	
Don Callis Family 	Faction	Advanced	N/A	N/A	3			TRUE	Don Callis Family, Don Callis 	Flip - Choose up to three cards from your discard. Tuck one, put one beneath your draw deck, put one in your hand. Don Callis - Pick a fourth card, and any of the three modes. 	
Double Hand Chop	Strike	Advanced	1	2	3	T	Chop			Relentless, Focus Attack 	
Double Leg Takedown	Grapple	Advanced	5	3	3	L	Set-up			Relentless. Enters - You may discard a card. If you do, you may play a maneuver from your discard. If that card is reversed, put it beneath your draw deck. 	
Educated Feet 	Action	Advanced	6	0	3					Ongoing - Your Kicks are +2D. Tie-Up Enters - Give a Kick in your Market Sudden this turn, if you can't draw a card. Recovery Enters - Put up to two Kicks from your discard beneath your draw deck then gain 1 Stamina for each Kick in your ring.	
Elevated	Action	Advanced	5	0	3			TRUE	Will Ospreay	Hidden  Enters - You may look at the top four cards of your Purchase Deck and Tuck any of them. Put the rest back in any order.  Turned - Play the top card of your Purchase Deck face down. If it's reversed, Tuck it. 	
Enough of this Gay Banter	Response	Advanced	4	0	2					Reverse any Action. Enters - You may put a non-maneuver card from your discard beneath your Purchase Deck. If you do, gain Stamina equal to it's Momentum. 	
Fake Handshake	Grapple	Advanced	0	1	2	A				Cunning Attack 	
Fall-Away Slam	Grapple	Advanced	5	8	8	T	Slam			Enters - If you have a Strike in your ring put up to two cards from your discard beneath your draw deck, if you have a Submission in your ring Stun Opponent then Scout. 	
Father	Action	Advanced	0	0	1				The Patriarchy, Christian Cage, Patriarch	Enters - Look at the top two cards of your Draw deck. Put one in your hand, discard the rest.  The Patriarchy - You may look at an additional card. Christian Cage - You may look at an additional card.  The Patriarch - You may look at an additional card. 	
Fatigue	Action	Advanced	2	0	2					Enters - Put two -1M counters on a non-persona card in Opponent's Ring. If that card has 0M, put it into opponent's discard pile. 	
Feeling Refreshed	Action	Advanced	1	0	2					Enters - Uncommit a card in your ring and gain 1 Stamina. 	
Feign	Strike	Advanced	6	0	3	-				Enters - Create a Sucker Punch token in your Market. Ongoing - Punches in your Market have Echo. 	
Fisherman's Suplex 	Grapple	Advanced	9	7	7	T	Suplex			Enters - Choose up to one card from each Market. Tuck those cards. 	
Focused Submissionist 	Action	Advanced	6	0	3					Tie-Up Enters - Play a Submission from hand or discard. If played from hand it gains Focus Attack. If reversed being played from discard, put it beneath your draw deck. 	
Forearm Shot	Strike	Advanced	0	3	1	H					
Forethought	Action	Advanced	0	0	1					Uses 3. Action - Commit and remove a Use Counter: Scout	
Friend of the Shadows	Action	Advanced	3	0	1					Hidden. Ongoing - Your face down cards have Permanent 	
Generous	Action	Advanced	5	0	2				The Patriarchy	Sudden. Enters - Each player draws three cards and gains 3 Stamina.   The Patriarchy - Has Relentless. 	
Go For a Cheap Pop	Action	Advanced	1	0	0					Uses 4. Special - This is +1M for each Use Counter on it and when this becomes committed for any reason remove a Use Counter. 	
Grit and Determination 	Response	Advanced	10	0	3					Resilient. Reverse any maneuver of 8D or more. Enters - Attempt to Rally The Crowd. 	
Hangman	Call Name	Advanced	N/A	N/A	2			TRUE	Hangman	Your Starting Draw Deck may contain one copy of the card Running Lariat and up to 3 cost of other cards. 	
Headbutt	Strike	Advanced	2	4	4	H			Boxer	Enters - Create a 4C Brain Fog token in Opponent's Market.   Boxer - This gains the Punch trait. 	
Headhunter	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:H are +1D.	
Hidden Blade	Strike	Advanced	15	11	11	H		TRUE	Will Ospreay	Finisher, Hidden, Stealth Attack. Ongoing - Your cards have Hidden. 	
Hold Onto the Ropes	Response	Advanced	6	0	4					Rope Break, Resilient. Reverse any Submission, or Reverse any maneuver if you pay Momentum equal to its cost. 	
I Am Your Father	Action	Advanced	4	0	3			TRUE	The Patriarchy, Christian Cage	Ongoing - Your maneuvers played from outside your hand have Cunning Attack.  Enters - You may Attempt to Draw Heat.  Christian Cage Enters - Non-Maneuver cards in your Market gain Sudden this turn (this only gives this to cards currently in your Market)	
I Think That Just Made Him Mad	Response	Advanced	6	0	10					Resilient. This card can not be played. 	
Inspirational	Action	Advanced	10	0	5				The Patriarchy	Permanent, Resilient. Ongoing - Your Hand is +1.  The Patriarchy - When this is discarded, draw a card. 	
Inspired	Boon	Advanced	0	0	1					Ongoing - Your Hand is +1.	
Iron	Call Name	Advanced	N/A	N/A	3		Boxer	TRUE	Iron	Your starting draw deck may contain up to 4 cost of Punches and 3 cost of any other cards. 	
